date,price,Open,High,Low
10/21/2018,204.36,207.76,211.65,202.99
10/28/2018,200.23,204.36,205.79,193
11/04/2018,213.21,200.27,224.64,199.38
11/11/2018,176.53,213.19,214.95,171.99
11/18/2018,114.43,176.53,182.07,111.79
11/25/2018,118.23,114.42,126.6,102.8
12/02/2018,90.57,118.23,127.08,77.65
12/09/2018,83.9,90.56,98.76,81.97
12/16/2018,115.84,83.9,118.67,83.89
12/23/2018,133.67,115.85,158.27,112.59
12/30/2018,153.49,133.64,159.78,129.51
01/06/2019,123.75,153.48,158.29,121.28
01/13/2019,123.02,123.75,130.3,112.79
01/20/2019,115.83,123,123.52,112.36
01/27/2019,110.68,115.83,116.24,101.6
02/03/2019,119.44,110.67,122.58,102.28
02/10/2019,122.87,119.44,126.17,116.42
02/17/2019,158.3,122.88,159.31,122.78
02/24/2019,132.76,158.31,165.79,128.15
03/03/2019,137.52,132.77,168.42,123.25
03/10/2019,141.15,137.52,143.95,129.14
03/17/2019,137.53,141.15,141.87,133.05
03/24/2019,142.65,137.53,145.85,132.36
03/31/2019,165.55,142.65,177.29,140.26
04/07/2019,163.19,165.58,185.54,158.93
04/14/2019,172.73,163.19,176.71,153.65
04/21/2019,159.41,172.89,175.92,151.73
04/28/2019,163.68,159.43,171.04,152.6
05/05/2019,192.27,163.67,204.72,159.56
05/12/2019,233.89,192.17,278.52,182.81
05/19/2019,250.68,233.87,263.05,231.89
05/26/2019,264.31,250.69,287.99,241.51
06/02/2019,243.42,264.26,272.64,235.35
06/09/2019,267.75,243.43,271.61,227
06/16/2019,310.38,267.74,314,261.76
06/23/2019,318.48,310.39,364.89,279.82
06/30/2019,288.08,318.26,323.21,273.07
07/07/2019,269.16,288.11,317.94,262.85
07/14/2019,227.86,269.12,269.62,192.91
07/21/2019,206.62,227.83,228.76,202.3
07/28/2019,220.89,206.64,223,199.68
08/04/2019,205.93,220.89,237.47,202.35
08/11/2019,184.81,205.92,216.23,106.01
08/18/2019,190.15,184.83,202.81,175.8
08/25/2019,171.62,190.16,193.09,164.04
09/01/2019,177.74,171.62,182.59,166.16
09/08/2019,188.16,177.76,188.54,174.86
09/15/2019,215.22,188.17,223.35,185.92
09/22/2019,173.62,215.23,215.64,153.17
09/29/2019,176.43,173.62,184.95,164.97
10/06/2019,179.87,176.44,195.87,168.74
10/13/2019,171.91,179.86,187.67,169.28
10/20/2019,179.62,171.93,192.54,154.42
10/27/2019,183.01,179.61,192.28,176.47
11/03/2019,184.96,183.01,194.11,179.46
11/10/2019,182.42,184.96,191.28,178.29
11/17/2019,152.46,182.39,185.97,139.13
11/24/2019,151.95,152.46,157.27,131.78
12/01/2019,148.28,151.93,152.33,143.95
12/08/2019,142.03,148.25,152.22,140
12/15/2019,127.61,142.03,143.87,117.14
12/22/2019,128.35,127.61,134.92,123.18
12/29/2019,134.33,128.35,137.74,126.05
01/05/2020,142.67,134.32,147.68,134.32
01/12/2020,174.19,142.65,179.8,142
01/19/2020,160.44,174.17,177.77,155.65
01/26/2020,183.64,160.4,186.76,159.55
02/02/2020,223.23,183.58,227.55,183.58
02/09/2020,264.87,223.23,287.93,217.02
02/16/2020,261.64,264.87,285.75,237.89
02/23/2020,217.52,261.65,276.81,210.36
03/01/2020,237.32,217.51,251.55,213
03/08/2020,122.69,237.3,237.3,88.5
03/15/2020,132.58,122.67,151.85,102.44
03/22/2020,131.03,132.59,142.9,120.2
03/29/2020,144.01,131.02,148.91,124.84
04/05/2020,158.18,144.03,175.78,140.84
04/12/2020,187.45,158.18,189.22,148.91
04/19/2020,194.01,187.47,197.35,167.51
04/26/2020,213.96,194.01,227.05,190.87
05/03/2020,210.22,213.96,218.74,195.25
05/10/2020,200.51,210.19,210.19,177.43
05/17/2020,206.62,200.51,217,192.11
05/24/2020,243.63,206.65,246.55,197.3
05/31/2020,242,243.63,253.21,227.95
06/07/2020,238.22,242,249.77,227.01
06/14/2020,228.86,238.23,238.48,219.06
06/21/2020,221.06,228.87,249.23,217.11
06/28/2020,229.15,221.07,232.47,218.46
07/05/2020,239.2,229.09,248.76,223.79
07/12/2020,235.75,239.2,245.04,230.44
07/19/2020,305.32,235.72,308.57,233.35
07/26/2020,387.14,305.32,392.37,300.33
08/02/2020,396.76,387.15,415.08,335.76
08/09/2020,432.18,396.78,443.74,367.05
08/16/2020,395.56,432.22,444.86,379.96
08/23/2020,398.8,395.56,410.17,370.4
08/30/2020,334.91,398.8,488.24,314.13
09/06/2020,387.98,334.91,388.12,316.69
09/13/2020,385.25,388.06,393.96,353.85
09/20/2020,354.25,385.33,385.39,315.54
09/27/2020,345.6,354.26,369.1,335.91
10/04/2020,370.16,345.6,377.97,334.11
10/11/2020,368.63,370.28,394.58,362.65
10/18/2020,411.92,368.61,420.12,367.16
10/25/2020,386.42,412.44,417.07,374.36
11/01/2020,435.4,386.36,467.88,370.96
11/08/2020,460.7,435.39,477.78,432.44
11/15/2020,551.91,460.75,552.13,440.44
11/22/2020,537.74,551.9,621.7,484.03
11/29/2020,596.68,537.89,635.66,530.71
12/06/2020,567.78,596.61,606.9,530.88
12/13/2020,658.17,568.07,675.68,563.37
12/20/2020,636.58,657.79,661.04,554.09
12/27/2020,774.5,636.35,787.26,627.12
01/03/2021,1275.58,774.54,1301.75,769.57
01/10/2021,1228.27,1275.87,1347.98,917.96
01/17/2021,1233.4,1228.33,1437.42,1045.02
01/24/2021,1376.96,1233.41,1474.68,1210.4
01/31/2021,1676.63,1377.05,1760.09,1272.09
02/07/2021,1815.49,1676.62,1871.36,1491.68
02/14/2021,1913.88,1815.44,2040.79,1661.09
02/21/2021,1458.93,1912.97,1974.99,1370.45
02/28/2021,1649.19,1458.84,1670.01,1294.79
03/07/2021,1921.13,1650.94,1943.36,1634.73
03/14/2021,1804.6,1921.29,1932.36,1715.97
03/21/2021,1713.01,1804.6,1815.85,1546.48
03/28/2021,2008.59,1712.89,2144.11,1661.92
04/04/2021,2133.79,2007.82,2197.73,1939.64
04/11/2021,2318.33,2133.89,2544.54,2103.73
04/18/2021,2215.93,2317.88,2642.99,1948.93
04/25/2021,2944.66,2217.23,2951.74,2169.91
05/02/2021,3905.55,2945.04,3952.88,2854.12
05/09/2021,3641.65,3905.69,4366.1,3539.96
05/16/2021,2291.6,3643.67,3877.2,1922.25
05/23/2021,2276.07,2292.68,2908.37,1739.91
05/30/2021,2628.98,2276.97,2889.19,2181.93
06/06/2021,2368.47,2628.43,2842.88,2260.8
06/13/2021,2166.91,2368.68,2637.9,2142.74
06/20/2021,1830.62,2166.3,2276.83,1707.24
06/27/2021,2224.7,1830.42,2281.55,1808.59
07/04/2021,2111.12,2224.7,2402.68,2066.09
07/11/2021,1897.98,2110.9,2173.34,1851.97
07/18/2021,2151.85,1898.01,2162.29,1720.7
07/25/2021,2532.19,2166.98,2551.68,2108.74
08/01/2021,3158,2530.94,3169.74,2445.49
08/08/2021,3264.69,3158.3,3328.38,2899.24
08/15/2021,3223.96,3264.56,3334.22,2951.04
08/22/2021,3243.9,3224.17,3375.42,3057.48
08/29/2021,3884.97,3243.96,4024.89,3145.53
09/05/2021,3267.33,3885.4,3981.22,3061.3
09/12/2021,3435.97,3267.33,3672.68,3118.66
